time,min,max,mean,variance,lossCount,slope,intercept
7.3,0.12909199999999998,0.1328580000000006,0.131166423076923,8.6132401384618e-07,0,0.0396941044800068,-0.157613310607997
7.35,0.129899,0.1337679999999999,0.13160016,7.478753899998026e-07,0,-0.0032531512382420386,0.15543207803434894
7.4,0.13068900000000028,0.13347399999999965,0.13208087999999985,5.702667766666498e-07,0,-0.006105452287207988,0.17711065914539367
7.45,0.13092599999999965,0.13304899999999975,0.13204358333333344,4.114586014492392e-07,0,0.003487550908011911,0.10615047682775294
7.5,0.13053399999999993,0.13470300000000002,0.1333266538461539,1.4982415153844859e-06,0,-0.019913004356822663,0.28213643660555265
7.55,0.1315949999999999,0.1349070000000001,0.13284050000000006,1.2048177799997592e-06,0,0.05512772684611087,-0.28203002301556435
7.6,0.13192700000000013,0.134938,0.13349887999999996,9.162591933332017e-07,0,-0.013356754308090855,0.23468818460074342
7.65,0.13310000000000066,0.13571499999999936,0.13407416000000008,6.03873973333104e-07,0,0.005052363063207276,0.09554774802644414
7.7,0.1322050000000008,0.1346280000000002,0.13381128000000012,5.534199599999231e-07,0,0.005706151072799539,0.09001339492906862
7.75,0.13305200000000017,0.1376949999999999,0.13538523076923076,1.317056744615471e-06,0,0.04647793777849596,-0.22366466473932722
7.8,0.13243500000000008,0.1364850000000004,0.13407199999999994,7.568085217390137e-07,0,-0.012821515912590153,0.233776138500366
7.85,0.1339220000000001,0.1375440000000001,0.13594758333333334,1.0382733840579335e-06,0,-0.00950093163123641,0.21026949985485605
7.9,0.13259000000000043,0.1372150000000003,0.1352812962962964,1.4441157549856681e-06,0,0.04768482732514173,-0.240183122909386
7.95,0.13506199999999957,0.13690099999999905,0.135971625,3.0996015760884447e-07,0,-0.00572739125092892,0.18135823769320455
8.0,0.1342660000000011,0.1389989999999992,0.13628807407407426,1.1698804558402524e-06,0,0.03886514696327638,-0.17366927909479493
8.05,0.13433200000000056,0.1394409999999997,0.1373120869565218,1.6398109011854979e-06,0,-0.055493693369210735,0.582599471044414
8.1,0.1345849999999995,0.13930599999999949,0.13704515384615398,2.10538821538447e-06,0,0.06607473205369893,-0.3964021177690471
8.15,0.13417900000000138,0.1398609999999998,0.13707661538461563,1.878318486153893e-06,0,0.020063421647396978,-0.02594279773025246
8.2,0.13644700000000043,0.1393979999999999,0.13799252000000004,7.727930099999009e-07,0,-0.01872073202968119,0.29104378233743766
8.25,0.1367970000000014,0.1390759999999993,0.13814448,5.065609266664037e-07,0,0.00851232654410675,0.06812729071103675
8.3,0.136925999999999,0.14025599999999905,0.13884904166666642,1.0389620416664887e-06,0,0.029245995095442918,-0.10311854323358893
8.35,0.13633399999999973,0.14059299999999908,0.1384070370370368,1.5511578062670442e-06,0,0.06181189332564938,-0.37617705502552257
8.4,0.13726999999999911,0.1413480000000007,0.13930234782608694,1.4644386007903929e-06,0,-0.04124494062549746,0.4846942286549406
8.45,0.13715200000000038,0.1417490000000008,0.13938111111111104,1.2684849487178988e-06,0,0.04711042158110218,-0.25747320850937194
8.5,0.13819300000000112,0.1409880000000001,0.13981323999999987,6.268022733333023e-07,0,-0.001421825278451406,0.1518638263639194
8.55,0.13913300000000106,0.14113799999999976,0.14016064000000006,4.77082073332986e-07,0,-0.015244015215700445,0.27012407648187786
8.6,0.13932400000000023,0.14257800000000032,0.14060166666666696,3.0132303333334362e-06,0,1.1213695173081943,-9.449785910515565
8.65,N/A,N/A,N/A,N/A,0,N/A,N/A
8.7,0.1420060000000003,0.1420060000000003,0.1420060000000003,N/A,1,nan,nan
8.75,N/A,N/A,N/A,N/A,0,N/A,N/A
8.8,N/A,N/A,N/A,N/A,0,N/A,N/A
8.85,0.06928300000000043,0.07157899999999984,0.07049657142857159,8.753822857138447e-07,1,-0.05706545703788584,0.5751731935371589
8.9,0.0681409999999989,0.07114499999999957,0.06978404347826082,7.956405889330771e-07,0,0.011338753948600856,-0.030846902361323134
8.95,0.06861599999999868,0.07218999999999909,0.07022862499999964,8.331841576087233e-07,0,0.030489495360743593,-0.2018547113569623
9.0,0.06829899999999967,0.07234199999999902,0.07076079166666653,1.3239649547101049e-06,0,0.07006222826173197,-0.5580930868714751
9.05,0.0685330000000004,0.07245499999999971,0.07096817391304347,1.1893487865613617e-06,0,0.014793203234189376,-0.06253298833738968
9.1,0.06933599999999984,0.07333999999999996,0.07151860869565226,1.1590637035570171e-06,0,0.007228354491648155,0.005923500731933151
9.15,0.0706199999999999,0.07478099999999976,0.07236416666666641,9.445850144926954e-07,0,0.004935505591579078,0.027327946922915992
9.2,0.07050299999999865,0.07483899999999899,0.07288763999999986,1.1512903233332556e-06,0,0.02413623354775219,-0.14853401803125657
9.25,0.07183900000000065,0.07677400000000034,0.07421275000000005,1.4541340217393275e-06,0,0.041567089759918616,-0.30921105750902916
9.3,0.07257300000000022,0.07657800000000137,0.07436164000000012,1.1583126566670702e-06,0,-0.004804736914407495,0.118933637229672
9.35,0.07279400000000003,0.07709100000000113,0.07484260000000027,1.6396884166662853e-06,0,-0.011457887626406968,0.18171615912261
9.4,0.07452699999999979,0.07807200000000059,0.07637156521739147,1.1440855296444893e-06,0,-0.028829588687103665,0.34667522166082193
9.45,0.0747529999999994,0.07807400000000086,0.07648591666666664,7.739939927537966e-07,0,0.02071662960012315,-0.11876345063292383
9.5,0.07567700000000066,0.07851099999999889,0.07688981818181824,3.7136072727244884e-07,0,0.0052602096893438165,0.027046915265335092
9.55,0.07642799999999994,0.07948799999999956,0.07791245833333311,1.0859906938405488e-06,0,0.010424145423914122,-0.02137688965355984
9.6,0.07678600000000024,0.07972900000000038,0.07798939130434807,7.351472490121081e-07,0,0.014712846212280384,-0.06289870153646054
